City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,Jalu,29.0331,21.5482,25.19,46,0,7.84,LY,1624131968
345,Kismayo,-0.3582,42.5454,25.03,81,100,7.98,SO,1624131968
346,Salinópolis,-0.6136,-47.3561,27.89,76,100,5.1,BR,1624131968
347,Mirassol,-20.8192,-49.5211,28.82,23,0,3.09,BR,1624131968
348,Kunyang,27.6658,120.5658,23.08,97,100,0.93,CN,1624131969
349,Yining,29.0361,114.5636,22.05,97,100,0.69,CN,1624131969
350,Vao,-22.6667,167.4833,22.42,80,97,7.29,NC,1624131969
351,Ambon City,-3.6954,128.1814,24.38,93,100,4.66,ID,1624131970
352,Colón,9.3592,-79.9014,29.52,83,99,3.13,PA,1624131970
353,Cockburn Town,21.4612,-71.1419,27.24,84,100,8.09,TC,1624131970
354,Port-Gentil,-0.7193,8.7815,26.98,78,75,5.14,GA,1624131970
